metric,metric_label,n_high_vulnerability,n_blue_Green30,n_blue_Target30,pct_blue_Green30,pct_blue_Target30,change_blue_percentage_points,n_blue_resolved,pct_Green30_blue_resolved,n_new_blue,additional_deaths_averted,pct_change_deaths_averted,population_2021_high_vulnerability,population_weighted_pct_blue_Green30,population_weighted_pct_blue_Target30,population_weighted_change_blue_percentage_points,population_year,temperature_period,benefit_unit,population_source,pct_blue_Green30_low,pct_blue_Green30_high,pct_blue_Target30_low,pct_blue_Target30_high,change_low,change_high,bootstrap_draws,bootstrap_seed,uncertainty_scope
SVI,SVI,1612,733,73,45.47146401985111,4.528535980148883,-40.94292803970223,722,98.49931787175989,62,120.864052323235,101.21171330371861,3066284.9226637394,47.65295914004561,3.8605095537839675,-43.79244958626164,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021_by_lsoa11cd.csv,43.112593052109176,47.89236972704715,3.535980148883375,5.521091811414392,-43.61042183622829,-38.39795285359802,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
p5under,Age <5,1609,737,358,45.80484773151026,22.249844623990057,-23.5550031075202,687,93.2157394843962,308,89.67236277127783,76.41114333149974,3111196.037641211,47.694407743852516,19.999895162381602,-27.694512581470914,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021_by_lsoa11cd.csv,43.38098197638285,48.228713486637666,20.261031696706027,24.30080795525171,-27.159726538222497,-19.9502796768179,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
p75over,Age 75+,1608,461,949,28.66915422885572,59.017412935323385,30.348258706467664,247,53.579175704989154,735,-26.818642772750458,-21.20407405164859,2740409.5763964634,28.92409721432685,56.94167878220934,28.017581567882488,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021_by_lsoa11cd.csv,26.368159203980102,30.907960199004975,56.59203980099502,61.38059701492538,26.616915422885572,33.95522388059702,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
pBAME,Ethnic minority,1612,828,56,51.36476426799007,3.4739454094292808,-47.890818858560785,824,99.51690821256038,52,141.85049930175555,125.47183071221055,3155126.4841011437,53.02342117170467,2.9260668151035563,-50.097354356601116,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021_by_lsoa11cd.csv,48.945409429280396,53.90818858560794,2.6054590570719602,4.466501240694789,-50.683933002481396,-45.15973945409431,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
pIncomeDeprivation,Income deprivation,1608,669,98,41.6044776119403,6.0945273631840795,-35.50995024875622,653,97.60837070254111,82,101.82630938458541,82.52576313344827,3016096.890557451,43.3106494988969,5.3587327798350435,-37.951916719061856,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021_by_lsoa11cd.csv,39.241293532338304,43.96766169154229,4.973569651741293,7.277674129353226,-38.37064676616915,-32.773631840796014,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
