benefit_Green30_group,benefit_Target30_group,n_LSOA,pct_within_Green30_class
Low,Low,214,46.420824295010846
Low,Moderate,64,13.882863340563992
Low,High,183,39.69631236442516
Moderate,Low,319,55.28596187175043
Moderate,Moderate,113,19.584055459272097
Moderate,High,145,25.12998266897747
High,Low,416,72.98245614035088
High,Moderate,87,15.263157894736842
High,High,67,11.75438596491228
