manuscript_label,scenario_status,manuscript_facing_file,source_trial_file,sha256,file_relationship,green_code100_transitions,target_code100_transitions,code100_transition_difference,code100_transition_equal,green_eligible_new_canopy,target_eligible_new_canopy,eligible_new_canopy_difference,eligible_new_canopy_equal,tree_pixel_area_m2
Target10,legacy_selected,LULC_Scenario510.tif,LULC_Scenario710v2.tif,b756510124c996a08ab180aeca0518b057a4c84884083f602ae66e1bd295e520,byte_identical_copy,320000,276430,-43570,false,307768,273242,-34526,false,100
Target20,legacy_selected,LULC_Scenario520.tif,LULC_Scenario730v2.tif,15edfce32b571bdd04faa875768a3ca911175eb8f7d85f4b218a4c07a1c1ec40,byte_identical_copy,620000,542985,-77015,false,595084,535737,-59347,false,100
Target30,legacy_selected,LULC_Scenario530.tif,LULC_Scenario730v3.tif,1999f4760c3c94acf95f4578ef846ba69597b6a729c4bcfb01cfdd2230d432c7,byte_identical_copy,930000,869444,-60556,false,894249,858121,-36128,false,100
Target30,historical_code100_matched,LULC_Scenario730v4_equal_budget.tif,LULC_Scenario730v3.tif,1a4c87678dad46ad6eb1320db830eb08c7215357e0e08f18befcbe617612299c,prefix_extension_not_copy,930000,930000,0,true,894249,917794,23545,false,100
