benefit_Green30_group,benefit_Target30_group,n_LSOA,pct_within_Green30_class
Low,Low,179,40.58956916099773
Low,Moderate,58,13.151927437641723
Low,High,204,46.25850340136054
Moderate,Low,293,50.604490500863555
Moderate,Moderate,95,16.407599309153714
Moderate,High,191,32.98791018998273
High,Low,411,69.89795918367346
High,Moderate,96,16.3265306122449
High,High,81,13.775510204081632
