metric,metric_label,n_high_vulnerability,n_blue_Green30,n_blue_Target30,pct_blue_Green30,pct_blue_Target30,change_blue_percentage_points,n_blue_resolved,pct_Green30_blue_resolved,n_new_blue,additional_deaths_averted,pct_change_deaths_averted,population_2021_high_vulnerability,population_weighted_pct_blue_Green30,population_weighted_pct_blue_Target30,population_weighted_change_blue_percentage_points,population_year,temperature_period,benefit_unit,population_source,pct_blue_Green30_low,pct_blue_Green30_high,pct_blue_Target30_low,pct_blue_Target30_high,change_low,change_high,bootstrap_draws,bootstrap_seed,uncertainty_scope
SVI,SVI,1612,735,58,45.5955334987593,3.598014888337469,-41.997518610421835,730,99.31972789115646,53,130.71678357620155,114.60901939477775,3066284.9226637394,48.026917257144696,3.086322357837459,-44.940594899307236,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021.csv,43.23821339950372,47.95285359801489,2.729528535980149,4.466501240694789,-44.727047146401986,-39.392059553349874,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
p5under,Age <5,1609,741,329,46.05344934742076,20.447482908638907,-25.605966438781852,696,93.92712550607287,284,99.3315950438766,87.87864815815647,3111196.037641211,48.097671444719246,18.429598076289764,-29.668073368429482,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021.csv,43.691733996270976,48.41516469857054,18.520820385332502,22.436295835922934,-29.086389061528898,-22.061839651957744,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
p75over,Age 75+,1608,441,883,27.425373134328357,54.91293532338308,27.487562189054724,262,59.41043083900227,704,-16.463006486731246,-13.646451809494087,2740409.5763964634,27.66349206471892,53.03312155708391,25.36962949236499,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021.csv,25.186567164179102,29.66417910447761,52.363184079601986,57.40049751243781,23.756218905472643,31.094527363184074,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
pBAME,Ethnic minority,1612,835,42,51.79900744416873,2.6054590570719602,-49.19354838709677,833,99.76047904191617,40,151.11552322350855,138.71539618120616,3155126.4841011437,53.604126596021665,2.193077423465924,-51.41104917255574,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021.csv,49.44168734491315,54.3424317617866,1.8610421836228286,3.411910669975186,-51.98511166253102,-46.588089330024815,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
pIncomeDeprivation,Income deprivation,1608,666,76,41.417910447761194,4.72636815920398,-36.691542288557216,658,98.7987987987988,68,112.48546450469314,95.8361305808358,3016096.890557451,43.42738583901098,4.1739457472185615,-39.25344009179242,2021,2050,"Deaths averted per 100,000 residents (2021 population)",./data/derived/lsoa_population_2021.csv,39.0547263681592,43.90547263681592,3.6691542288557213,5.7835820895522385,-39.49004975124378,-34.017412935323385,2000,20260908,"Paired LSOA bootstrap sensitivity interval; excludes uncertainty in temperature, population, baseline mortality, and exposure-response"
