temperature_setting_c,invest_version,git_commit,git_worktree_dirty,valid_cells,unequal_cells,max_absolute_difference_c,previous_sha256,publication_sha256
25,3.20.2,be4433c12ffeb9c6cca71dbe635550aa1961faa8,false,23089980,0,0.0,7d7c75a44b059e37c152de64a329981824ca57dbfb5f5e959b493ef5b45ffe45,7d7c75a44b059e37c152de64a329981824ca57dbfb5f5e959b493ef5b45ffe45
28,3.20.2,be4433c12ffeb9c6cca71dbe635550aa1961faa8,false,23089980,0,0.0,85858360803cd4d4459149dce72ffa07b2b2a1420068aa34c6a3270f8b3c0338,85858360803cd4d4459149dce72ffa07b2b2a1420068aa34c6a3270f8b3c0338
