draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
1,-408.8107620385534,-32.01313212348317,-140.23136267592713,-53.8648949861916,-1.709784554896355
2,-364.75669826496187,-35.73925003273572,-162.0323323538797,-66.57955097295856,-0.9944460706293642
3,-435.8421735224251,-16.404008068348546,-145.6361095161418,-53.13065629838053,-1.6525381063601037
4,-396.4299401288494,-25.97242741788934,-150.29086593933604,-55.63819365600916,-1.8695428095887185
5,-274.76868027302834,-36.99927702036735,-152.78317823973904,-62.47857604210273,-1.1399470661555027
6,-372.7750565367962,-19.779478722478654,-151.652391786727,-58.156801163188334,-0.9911132811305345
7,-430.3901334674475,-28.99779161773268,-147.55291029317527,-57.38536479445558,-0.6887820484136252
8,-415.9001585995033,-22.73266995347659,-160.73778955839725,-60.56505045202985,-2.6943279098657453
9,-360.52484378426425,-33.1386975224461,-153.87924160323385,-55.95721572327042,-0.9261743707302202
10,-394.66531621616184,-17.231459409339127,-139.91693343638468,-54.36563766935666,-2.4143467283302478
11,-384.500650734771,-32.343067626912536,-140.39372972363594,-59.94488382279791,-2.147714374401153
12,-413.9797778855732,-30.329283117707917,-156.4350185638454,-54.82914192132915,-0.8350583929863749
13,-364.70204480412514,-42.20436444652046,-159.58806599278975,-55.20407665341469,-1.1154815542412977
14,-391.6262050191815,-31.973037806896716,-160.54192242144566,-58.514610780639536,-1.9713426397362623
15,-467.10384679605085,-36.26450629513789,-150.3111964864104,-58.23270993256377,-1.4706268770904842
16,-350.16068712735967,-29.90034819341122,-157.12884800254471,-55.82434519587537,-1.7044921573161584
17,-439.7546409481575,-27.162198782677276,-133.8980075479852,-60.171622113997095,-2.0073083290136595
18,-440.8875824198254,-36.160862512015555,-153.68063155008963,-54.5450395610761,-1.3931656958749832
19,-417.45407589618844,-46.42217348812307,-141.9879514839954,-54.93906722086584,-1.7908516965350254
20,-256.66683500549874,-19.251217209608022,-165.44772263018098,-59.647262716052474,-2.377525649635631
21,-356.58509171263665,-42.81805683331287,-149.28448113885776,-59.428474936124395,-1.3637379845406332
22,-435.9768812737895,-40.59808236710188,-156.4947469683039,-55.16959566004058,-2.583828432923765
23,-447.14690027272536,-17.613285477526734,-156.19624573429638,-62.47576328769309,-2.0404981876074686
24,-334.5512989263809,-32.46962437982736,-177.49197878578224,-63.619333579326835,-2.1455911484676267
25,-242.90623164587552,-22.39472228465154,-139.11931175003792,-62.66852364286787,-1.0616699228607955
26,-375.48870716065835,-27.068179188453172,-157.7776754763755,-60.237874242132285,-0.9436334322784501
27,-406.52413626558706,-30.473003030739893,-155.28912842049883,-58.93637500034931,-1.864967543072528
28,-387.23607846490535,-47.10859339692728,-134.02634542348608,-61.08951453802706,-1.4304509260612193
29,-365.77956581985956,-29.763710868798196,-157.07017945283704,-53.817928153514494,-2.3797031414194123
30,-412.54017666977103,-37.43880439426009,-149.5118548108248,-60.97454324762122,-1.9510781226747302
31,-421.8053009929005,-28.851689145509894,-141.18381172232296,-54.1685584673866,-0.5514018520917621
32,-302.40192808867664,-23.862964652543827,-142.33312558096148,-59.42658219860368,-1.46713318384619
33,-412.1500388963425,-25.179038094102555,-155.41625127841382,-57.49672986108664,-2.6939643770305244
34,-244.3585138796226,-29.134414667894358,-159.77403517478376,-58.88355475190791,-1.0721470700210631
