LSOA11CD,LSOA11NM,population_2021
E01000130,Barnet 021A,2047.935993433
E01000131,Barnet 024E,2291.47781397006
E01000132,Barnet 021B,1459.09086275846
E01000133,Barnet 021C,1752.66235841811
E01000134,Barnet 024F,2013.79910657555
E01000135,Barnet 038A,2239.95078925788
E01000136,Barnet 038B,1843.33865296375
E01000137,Barnet 041A,1076.85934345424
E01000138,Barnet 040A,1938.97745268047
E01000139,Barnet 041B,1794.74675823376
E01000140,Barnet 041C,1417.58935657144
E01000141,Barnet 039A,1908.74989913777
E01000142,Barnet 040B,2389.36394971609
E01000143,Barnet 041D,1210.19996281713
E01000144,Barnet 038C,1793.88882893324
E01000145,Barnet 037A,1608.67445468903
E01000146,Barnet 038D,1839.88945832849
E01000147,Barnet 030A,2482.22465366125
E01000148,Barnet 030B,2526.18899679184
E01000150,Barnet 036A,2241.56467168778
E01000151,Barnet 026B,2050.95831094682
E01000152,Barnet 026C,2057.5096334517
E01000153,Barnet 026D,2271.64911347628
E01000154,Barnet 026E,1888.89712077379
E01000155,Barnet 030D,4359.25349123776
E01000156,Barnet 022A,2153.06592315435
E01000157,Barnet 022B,1568.95406776667
E01000158,Barnet 015A,1436.87730183918
E01000159,Barnet 015B,2023.28157063108
E01000160,Barnet 015C,2022.37127459794
E01000161,Barnet 015D,2086.68876445293
E01000162,Barnet 015E,1509.11238029599
E01000163,Barnet 022C,1280.190980874
E01000164,Barnet 022D,1736.28625146435
E01000165,Barnet 022E,1822.8383911252
E01000166,Barnet 003A,1587.17139017443
E01000167,Barnet 002A,1499.27185636146
E01000168,Barnet 003B,1531.87856183201
E01000169,Barnet 003C,1656.18382266164
E01000170,Barnet 006A,2127.41423556209
E01000171,Barnet 006B,2385.46498389915
E01000172,Barnet 003D,1756.20499849604
E01000173,Barnet 006C,1419.80336436146
E01000174,Barnet 006D,1623.65505233407
E01000175,Barnet 006E,2246.10422588357
E01000176,Barnet 027A,1702.35055670142
E01000177,Barnet 029A,1858.69307512045
E01000178,Barnet 027B,1711.37109336296
E01000179,Barnet 029B,1814.75427061319
E01000180,Barnet 029C,1309.83324086666
E01000181,Barnet 029D,1902.55644738674
E01000182,Barnet 029E,1444.76968791336
E01000183,Barnet 033A,1591.5255613327
E01000184,Barnet 027C,1767.40875464011
E01000185,Barnet 029F,1303.84837949276
E01000186,Barnet 014A,1784.25577437878
E01000187,Barnet 014B,1686.66780689359
E01000188,Barnet 014C,1849.83624238836
E01000189,Barnet 014D,2256.42451046407
E01000190,Barnet 014E,1723.03426763415
E01000191,Barnet 014F,1678.68353399634
E01000192,Barnet 018A,2109.36689299345
E01000193,Barnet 018B,1816.29956813157
E01000194,Barnet 018C,1973.44905985892
E01000195,Barnet 013A,2085.99040275626
E01000196,Barnet 028A,1711.61442680657
E01000197,Barnet 023A,2024.34403206408
E01000198,Barnet 025A,1826.39371757209
E01000199,Barnet 025B,1675.96079938859
E01000200,Barnet 028B,1903.43336906284
E01000201,Barnet 028C,2042.44401240349
E01000202,Barnet 028D,1646.66431984305
E01000203,Barnet 028E,1601.75874051452
E01000204,Barnet 025C,1779.12019156665
E01000205,Barnet 035A,1474.63566071913
E01000206,Barnet 033B,1826.89194489866
E01000207,Barnet 033C,1494.73168821214
E01000208,Barnet 033D,1461.64668743312
E01000209,Barnet 035B,1266.94761155586
E01000210,Barnet 033E,1937.92358720535
E01000211,Barnet 035C,1856.48554209666
E01000212,Barnet 035D,1446.93337776512
E01000213,Barnet 033F,1374.98176808923
E01000214,Barnet 038E,1534.09832960367
E01000215,Barnet 037B,1974.04118680954
E01000216,Barnet 035E,2350.72207587957
E01000217,Barnet 035F,1944.87947008014
E01000218,Barnet 037C,1644.47733098269
E01000219,Barnet 037D,2194.50557687879
E01000220,Barnet 037E,1988.28147293627
E01000221,Barnet 039B,1417.80352734029
E01000222,Barnet 040C,2049.30478324182
E01000223,Barnet 039C,2028.72159190848
E01000224,Barnet 040D,1611.66056913137
E01000225,Barnet 037F,2069.57406413555
E01000226,Barnet 018D,1731.55875624716
E01000227,Barnet 018E,1894.44254571199
E01000228,Barnet 007A,1666.95080834375
E01000229,Barnet 013B,1640.35283269733
E01000230,Barnet 013C,1891.86162400246
E01000231,Barnet 013D,1579.31645885203
E01000232,Barnet 013E,2127.29609720409
E01000233,Barnet 013F,1971.8616053462
E01000234,Barnet 021D,1628.42045119405
E01000235,Barnet 021E,1777.95628902316
E01000236,Barnet 034A,1942.89552214742
E01000237,Barnet 032A,2202.62027534842
E01000238,Barnet 034B,2185.42919628322
E01000239,Barnet 031A,2087.74950711429
E01000240,Barnet 031B,2215.09930070031
E01000241,Barnet 031C,1807.18009553384
E01000242,Barnet 032B,1554.22241479158
E01000243,Barnet 032C,2022.35360780358
E01000244,Barnet 032D,1604.4890409708
E01000245,Barnet 032E,1918.76106956601
E01000246,Barnet 002B,2235.28261570587
E01000247,Barnet 002C,1514.40319577971
E01000248,Barnet 001A,2009.73928719759
E01000249,Barnet 001B,1556.85168880058
E01000250,Barnet 001C,2334.90363697984
E01000251,Barnet 002D,2187.54203158617
E01000252,Barnet 002E,1433.52508980036
E01000253,Barnet 007B,1937.92006914563
E01000254,Barnet 001D,1608.04090385627
E01000255,Barnet 017A,1801.15678845709
E01000256,Barnet 016A,1844.0405434048
E01000257,Barnet 017B,2234.98967852369
E01000258,Barnet 016B,2126.30559939639
E01000259,Barnet 025D,2971.29955088628
E01000260,Barnet 025E,2537.06677714076
E01000261,Barnet 017C,1583.41651449915
E01000262,Barnet 017D,3665.66314279445
E01000263,Barnet 016C,1798.00831279159
E01000264,Barnet 016D,1570.4738086313
E01000265,Barnet 011A,2008.59800195694
E01000266,Barnet 011B,2008.34858402571
E01000267,Barnet 005A,1435.21244688332
E01000268,Barnet 005B,1732.5839766413
E01000269,Barnet 005C,1519.32163576037
E01000270,Barnet 005D,1873.50139430165
E01000271,Barnet 008A,1628.72400246561
E01000272,Barnet 008B,1992.71415835619
E01000273,Barnet 008C,1363.04191794991
E01000274,Barnet 011C,1636.27662615478
E01000275,Barnet 012A,1581.08884482272
E01000276,Barnet 020A,1452.04912029289
E01000277,Barnet 012B,1744.44211646914
E01000278,Barnet 020B,1478.98849043995
E01000279,Barnet 007C,1760.41963592606
E01000280,Barnet 007D,1334.74318611217
E01000281,Barnet 008D,1918.27644737065
E01000282,Barnet 008E,1767.88452053629
E01000283,Barnet 012C,1349.7200262621
E01000284,Barnet 012D,1884.19629027322
E01000285,Barnet 004A,1529.17805333436
E01000286,Barnet 007E,1713.81940881256
E01000287,Barnet 004B,1746.2342912741
E01000288,Barnet 004C,1432.45251066346
E01000289,Barnet 004D,1420.60053994972
E01000290,Barnet 007F,1467.61242263548
E01000291,Barnet 004E,1332.96523774602
E01000292,Barnet 001E,1628.65111798048
E01000293,Barnet 001F,1938.93854033947
E01000294,Barnet 004F,1707.13659718308
E01000295,Barnet 023B,1727.45119675994
E01000296,Barnet 023C,1771.99991182983
E01000297,Barnet 027D,1517.98914310336
E01000298,Barnet 023D,1548.28936138749
E01000299,Barnet 019A,1971.15022321045
E01000300,Barnet 019B,1820.16090813279
E01000301,Barnet 020C,1905.83849132061
E01000302,Barnet 019C,1571.55859088898
E01000303,Barnet 020D,1525.36222200468
E01000304,Barnet 020E,1352.59227833338
E01000305,Barnet 036B,1835.54649644602
E01000306,Barnet 036C,1585.1654612124
E01000307,Barnet 039D,1878.81388162775
E01000308,Barnet 036D,1635.93002569152
E01000309,Barnet 031D,2385.89704853296
E01000310,Barnet 034C,2128.9243888557
E01000311,Barnet 034D,1720.55874592159
E01000312,Barnet 036E,1406.56205390394
E01000313,Barnet 036F,2435.82567635179
E01000314,Barnet 032F,2015.12591993809
E01000315,Barnet 022F,1706.74114295078
E01000316,Barnet 027E,2112.74519045651
E01000317,Barnet 019D,1660.67652064562
E01000318,Barnet 019E,2054.32384300232
E01000319,Barnet 027F,1522.23374053836
E01000320,Barnet 011D,1464.45624881238
E01000321,Barnet 012E,1905.94794817269
E01000322,Barnet 011E,1952.48274502158
E01000323,Barnet 019F,2114.15114456415
E01000324,Barnet 015F,1856.71430160105
E01000325,Bexley 014A,1787.23776227515
E01000326,Bexley 014B,1272.55948284548
E01000327,Bexley 017A,1691.24852242321
E01000328,Bexley 017B,1581.24296218728
E01000329,Bexley 017C,2017.21955508098
E01000330,Bexley 017D,1577.20976030827
E01000331,Bexley 017E,1397.18242630791
E01000332,Bexley 005A,1501.24715150613
E01000333,Bexley 003A,1936.13828323781
E01000334,Bexley 006A,1637.05394512169
E01000335,Bexley 003B,2982.21007607266
E01000336,Bexley 003C,1931.38395562768
E01000337,Bexley 003D,1859.71887200137
E01000338,Bexley 003E,1705.66222932935
E01000339,Bexley 025A,1633.00997424126
E01000340,Bexley 018A,1459.47036033869
E01000341,Bexley 022A,1477.61120269448
E01000342,Bexley 022B,1616.26832041144
E01000343,Bexley 022C,1632.38716932759
E01000344,Bexley 025B,1663.6823502481
E01000345,Bexley 022D,1404.14645501971
E01000346,Bexley 021A,1672.46549698338
E01000347,Bexley 021B,1489.58421298862
E01000348,Bexley 020A,1594.7799577713
E01000349,Bexley 020B,1787.11773035675
E01000350,Bexley 021C,1351.80602081225
